n:1 m:1
n:2 m:3
n:3 m:4
n:4 m:4
n:5 m:6
n:6 m:5
n:7 m:13
n:8 m:13
n:9 m:11
n:10 m:16
n:11 m:12
n:12 m:21
n:13 m:14
n:14 m:21
n:15 m:17
n:16 m:14
n:17 m:16
n:18 m:20
n:19 m:24
n:20 m:25
n:21 m:24
n:22 m:23
n:23 m:29
n:24 m:31
n:25 m:30
n:26 m:39
n:27 m:43
n:28 m:26
n:29 m:44
n:30 m:41
n:31 m:31
n:32 m:49
n:33 m:47
n:34 m:53
n:35 m:44
n:36 m:45
n:37 m:46
n:38 m:48
n:39 m:45
n:40 m:51
n:41 m:47
n:42 m:52
n:43 m:74
n:44 m:56
n:45 m:56
n:46 m:64
n:47 m:65
n:48 m:61
n:49 m:59
n:50 m:72
n:51 m:70
n:52 m:83
n:53 m:74
n:54 m:75
n:55 m:77
n:56 m:67
n:57 m:67
n:58 m:79
n:59 m:89
n:60 m:78
n:61 m:100
n:62 m:92
n:63 m:60
n:64 m:85
n:65 m:96
n:66 m:113
n:67 m:95
n:68 m:101
n:69 m:86
n:70 m:98
n:71 m:99
n:72 m:109
n:73 m:104
n:74 m:107
n:75 m:87
n:76 m:101
n:77 m:95
n:78 m:92
n:79 m:111
n:80 m:127
n:81 m:113
n:82 m:123
n:83 m:108
n:84 m:114
n:85 m:121
n:86 m:114
n:87 m:119
n:88 m:135
n:89 m:109
n:90 m:115
n:91 m:128
n:92 m:148
n:93 m:129
n:94 m:148
n:95 m:121
n:96 m:138
n:97 m:147
n:98 m:140
n:99 m:149
n:100 m:146
