n:1 m:1
n:2 m:3
n:3 m:4
n:4 m:3
n:5 m:3
n:6 m:7
n:7 m:7
n:8 m:8
n:9 m:11
n:10 m:10
n:11 m:10
n:12 m:14
n:13 m:16
n:14 m:13
n:15 m:15
n:16 m:22
n:17 m:20
n:18 m:20
n:19 m:14
n:20 m:22
n:21 m:35
n:22 m:24
n:23 m:31
n:24 m:32
n:25 m:37
n:26 m:39
n:27 m:29
n:28 m:37
n:29 m:41
n:30 m:32
n:31 m:40
n:32 m:35
n:33 m:41
n:34 m:46
n:35 m:48
n:36 m:41
n:37 m:37
n:38 m:48
n:39 m:44
n:40 m:53
n:41 m:48
n:42 m:54
n:43 m:63
n:44 m:48
n:45 m:62
n:46 m:54
n:47 m:59
n:48 m:63
n:49 m:47
n:50 m:65
n:51 m:65
n:52 m:69
n:53 m:55
n:54 m:79
n:55 m:65
n:56 m:74
n:57 m:87
n:58 m:79
n:59 m:80
n:60 m:92
n:61 m:92
n:62 m:75
n:63 m:93
n:64 m:83
n:65 m:98
n:66 m:86
n:67 m:92
n:68 m:105
n:69 m:87
n:70 m:102
n:71 m:104
n:72 m:82
n:73 m:116
n:74 m:107
n:75 m:102
n:76 m:87
n:77 m:97
n:78 m:102
n:79 m:120
n:80 m:111
n:81 m:103
n:82 m:131
n:83 m:111
n:84 m:117
n:85 m:133
n:86 m:109
n:87 m:125
n:88 m:111
n:89 m:125
n:90 m:130
n:91 m:139
n:92 m:101
n:93 m:111
n:94 m:140
n:95 m:132
n:96 m:149
n:97 m:143
n:98 m:134
n:99 m:140
n:100 m:140
