n:1 m:1
n:2 m:2
n:3 m:3
n:4 m:4
n:5 m:3
n:6 m:5
n:7 m:3
n:8 m:5
n:9 m:6
n:10 m:8
n:11 m:7
n:12 m:5
n:13 m:10
n:14 m:6
n:15 m:10
n:16 m:8
n:17 m:11
n:18 m:10
n:19 m:11
n:20 m:10
n:21 m:14
n:22 m:12
n:23 m:14
n:24 m:16
n:25 m:15
n:26 m:15
n:27 m:17
n:28 m:16
n:29 m:14
n:30 m:19
n:31 m:20
n:32 m:20
n:33 m:17
n:34 m:16
n:35 m:21
n:36 m:17
n:37 m:24
n:38 m:25
n:39 m:23
n:40 m:22
n:41 m:25
n:42 m:26
n:43 m:24
n:44 m:25
n:45 m:24
n:46 m:26
n:47 m:27
n:48 m:28
n:49 m:27
n:50 m:26
n:51 m:32
n:52 m:31
n:53 m:30
n:54 m:30
n:55 m:33
n:56 m:28
n:57 m:31
n:58 m:28
n:59 m:34
n:60 m:36
n:61 m:39
n:62 m:33
n:63 m:35
n:64 m:40
n:65 m:42
n:66 m:39
n:67 m:39
n:68 m:41
n:69 m:37
n:70 m:44
n:71 m:43
n:72 m:39
n:73 m:40
n:74 m:48
n:75 m:43
n:76 m:49
n:77 m:46
n:78 m:45
n:79 m:44
n:80 m:39
n:81 m:39
n:82 m:46
n:83 m:51
n:84 m:51
n:85 m:51
n:86 m:48
n:87 m:50
n:88 m:53
n:89 m:44
n:90 m:40
n:91 m:58
n:92 m:60
n:93 m:58
n:94 m:54
n:95 m:53
n:96 m:53
n:97 m:56
n:98 m:55
n:99 m:56
n:100 m:55
