n:1 m:1
n:2 m:3
n:3 m:3
n:4 m:3
n:5 m:6
n:6 m:9
n:7 m:7
n:8 m:11
n:9 m:6
n:10 m:11
n:11 m:12
n:12 m:10
n:13 m:7
n:14 m:11
n:15 m:11
n:16 m:18
n:17 m:13
n:18 m:14
n:19 m:15
n:20 m:16
n:21 m:13
n:22 m:16
n:23 m:15
n:24 m:17
n:25 m:18
n:26 m:17
n:27 m:16
n:28 m:16
n:29 m:20
n:30 m:20
n:31 m:18
n:32 m:14
n:33 m:15
n:34 m:15
n:35 m:24
n:36 m:17
n:37 m:16
n:38 m:25
n:39 m:19
n:40 m:21
n:41 m:15
n:42 m:17
n:43 m:16
n:44 m:12
n:45 m:18
n:46 m:21
n:47 m:20
n:48 m:21
n:49 m:12
n:50 m:22
n:51 m:15
n:52 m:18
n:53 m:19
n:54 m:22
n:55 m:25
n:56 m:26
n:57 m:23
n:58 m:20
n:59 m:24
n:60 m:19
n:61 m:16
n:62 m:17
n:63 m:15
n:64 m:18
n:65 m:20
n:66 m:16
n:67 m:13
n:68 m:24
n:69 m:26
n:70 m:23
n:71 m:26
n:72 m:15
n:73 m:18
n:74 m:18
n:75 m:26
n:76 m:20
n:77 m:17
n:78 m:16
n:79 m:24
n:80 m:19
n:81 m:18
n:82 m:23
n:83 m:21
n:84 m:11
n:85 m:20
n:86 m:24
n:87 m:21
n:88 m:18
n:89 m:24
n:90 m:18
n:91 m:20
n:92 m:26
n:93 m:20
n:94 m:25
n:95 m:15
n:96 m:22
n:97 m:19
n:98 m:25
n:99 m:19
n:100 m:20
